,business_status,geometry,name,rating,types,user_ratings_total,vicinity,price_level
25,OPERATIONAL,"{'location': {'lat': 12.9751838, 'lng': 77.60359969999999}, 'viewport': {'northeast': {'lat': 12.9765897302915, 'lng': 77.60496303029149}, 'southwest': {'lat': 12.97389176970849, 'lng': 77.60226506970848}}}",Bheema's,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",4983.0,"31, Asha Building, Ground Floor, Church Street, Bengaluru",2.0
26,OPERATIONAL,"{'location': {'lat': 12.9752373, 'lng': 77.6044221}, 'viewport': {'northeast': {'lat': 12.9765259802915, 'lng': 77.60572298029149}, 'southwest': {'lat': 12.9738280197085, 'lng': 77.60302501970848}}}",Coconut Grove,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",2225.0,"86, Church Street spencer building, Mahatma Gandhi Road, Bengaluru",3.0
27,OPERATIONAL,"{'location': {'lat': 12.9709896, 'lng': 77.6067181}, 'viewport': {'northeast': {'lat': 12.9723140302915, 'lng': 77.6081499802915}, 'southwest': {'lat': 12.9696160697085, 'lng': 77.60545201970848}}}",Stars 'N' Stripes,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",69.0,"No. 2, Brigade Road, St. Patrick's Shopping Arcade, Opposite Eva Mall, Ashok Nagar, Bengaluru",
28,OPERATIONAL,"{'location': {'lat': 12.9729231, 'lng': 77.6085374}, 'viewport': {'northeast': {'lat': 12.9743842302915, 'lng': 77.6102633302915}, 'southwest': {'lat': 12.9716862697085, 'lng': 77.60756536970848}}}",Down Town Pub,3.9,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",573.0,"41, 42, Residency Road, Shanthala Nagar, Ashok Nagar, Bengaluru",2.0
29,OPERATIONAL,"{'location': {'lat': 12.975206, 'lng': 77.60558320000001}, 'viewport': {'northeast': {'lat': 12.9768484802915, 'lng': 77.60659343029153}, 'southwest': {'lat': 12.9741505197085, 'lng': 77.60389546970852}}}",The 13th Floor,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",6396.0,"Tower-B, 13th floor, 84, Mahatma Gandhi Road, Bengaluru",3.0
30,OPERATIONAL,"{'location': {'lat': 12.9717197, 'lng': 77.5943527}, 'viewport': {'northeast': {'lat': 12.9731068802915, 'lng': 77.59581948029151}, 'southwest': {'lat': 12.9704089197085, 'lng': 77.59312151970849}}}",Cafe Coffee Day,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",3729.0,"near Cubbon Park, 23/2 Coffee Day Square, near Cubbon Park, Vittal Mallya Road, Bengaluru",2.0
31,OPERATIONAL,"{'location': {'lat': 12.9628079, 'lng': 77.59520069999999}, 'viewport': {'northeast': {'lat': 12.96411378029151, 'lng': 77.5965867302915}, 'southwest': {'lat': 12.9614158197085, 'lng': 77.5938887697085}}}",Shyvan Restaurant,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",334.0,"Royal Corner 1/5 ground floor double road, opposite to KTM bike showroom, junction, Lal Bagh Main Road, Bengaluru",2.0
32,OPERATIONAL,"{'location': {'lat': 12.9623716, 'lng': 77.5938924}, 'viewport': {'northeast': {'lat': 12.9636674802915, 'lng': 77.59524448029151}, 'southwest': {'lat': 12.9609695197085, 'lng': 77.5925465197085}}}",Sandarshini Sweet Shoppe.,4.0,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",155.0,"Sampangi Rama Nagara, Sampangi Rama Nagar, Bengaluru",
33,OPERATIONAL,"{'location': {'lat': 12.9578859, 'lng': 77.5932497}, 'viewport': {'northeast': {'lat': 12.9592676302915, 'lng': 77.59465878029151}, 'southwest': {'lat': 12.9565696697085, 'lng': 77.5919608197085}}}",Foodys,3.9,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",3768.0,"next to Bank Of Baroda (E Vijaya), #29/2, Nanjappa Mansion, next to Bank Of Baroda (E Vijaya), Kengal Hanumanthaiah Road, Shanti Nagar, Bengaluru",2.0
34,OPERATIONAL,"{'location': {'lat': 12.9832549, 'lng': 77.5924122}, 'viewport': {'northeast': {'lat': 12.9846076302915, 'lng': 77.59374968029151}, 'southwest': {'lat': 12.9819096697085, 'lng': 77.5910517197085}}}",Upper House,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"The Capital,3, Rajbhavan Road,, Bengaluru",
